package_id,po_id,rule_id,rule_name,severity,triggered_metric,threshold_level,observed_value,p90_threshold,p95_threshold,threshold_information,related_objects,responsible_actor,historical_context,potential_operational_impact,recommendations,timestamp,generated_at
IP-0001,PO-NTS-2026-002,DG14,Operational Timeliness Monitoring,Medium,transit_days,Critical,45.0,30.0,33.65,P90 (Warning) = 30.00 | P95 (Critical) = 33.65 | Observed = 45.00 → Critical,SHP-PO-NTS-2026-002,,"PO PO-NTS-2026-002 has accumulated 15 governance alert(s) across rules: DG01, DG03, DG05, DG07, DG08, DG09, DG12, DG13, DG14, DG15. Last event timestamp: .",Governance deviation detected – managerial review required.,Review the deviation and take corrective action as appropriate.,,2026-06-14T17:09:41.070065+00:00
IP-0002,PO-NTS-2026-018,DG14,Operational Timeliness Monitoring,Medium,transit_days,Critical,35.0,30.0,33.65,P90 (Warning) = 30.00 | P95 (Critical) = 33.65 | Observed = 35.00 → Critical,SHP-PO-NTS-2026-018,,"PO PO-NTS-2026-018 has accumulated 14 governance alert(s) across rules: DG01, DG05, DG07, DG08, DG09, DG12, DG13, DG14, DG15. Last event timestamp: .",Governance deviation detected – managerial review required.,Review the deviation and take corrective action as appropriate.,,2026-06-14T17:09:41.070065+00:00
IP-0003,PO-NTS-2026-041,DG14,Operational Timeliness Monitoring,Medium,transit_days,Critical,42.0,30.0,33.65,P90 (Warning) = 30.00 | P95 (Critical) = 33.65 | Observed = 42.00 → Critical,SHP-PO-NTS-2026-041,,"PO PO-NTS-2026-041 has accumulated 15 governance alert(s) across rules: DG01, DG03, DG05, DG07, DG08, DG09, DG12, DG13, DG14, DG15. Last event timestamp: .",Governance deviation detected – managerial review required.,Review the deviation and take corrective action as appropriate.,,2026-06-14T17:09:41.070065+00:00
